Ticker,Entry,SL,Target,RR,Lot,Time,Breakout,BandarScore,BUY,Sector,Probability,RunnerScore,PullbackQuality,Liquidity,PullbackZone,Momentum,Accumulation,Score,Status,EntryTime,Date,Timing,INTRA,FT,Decision,Exit,PnL,Notes
BRIS,184284.0,,,,3795.0,,,,,,,,,,,,,,,,2026-06-11,,,,,,,Import IPOT | Buy 5525lot @ avg184284 | Sell 3795lot @ avg189806
CLEO,37381.0,,,,1120.0,,,,,,,,,,,,,,,,2026-06-11,,,,,37862.0,53872000.0,Import IPOT | Buy 1120lot @ avg37381 | Sell 1514lot @ avg37862
AUTO,240000.0,,,,2400.0,,,,,,,,,,,,,,,,2026-06-12,,,,,246673.0,1601520000.0,Import IPOT | Buy 2400lot @ avg240000 | Sell 7400lot @ avg246673
SIDO,38000.0,,,,380.0,,,,,,,,,,,,,,,,2026-06-15,,,,,37452.0,-20824000.0,Import IPOT | Buy 380lot @ avg38000 | Sell 748lot @ avg37452
INKP,251.0,,,,7800.0,,,,,,,,,,,,,,,,2026-06-15,,,,,,,Import IPOT | Buy 15300lot @ avg251 | Sell 7800lot @ avg300
TLKM,300000.0,,,,2540.0,,,,,,,,,,,,,,,,2026-06-17,,,,,,,Import IPOT | Buy 3000lot @ avg300000 | Sell 2540lot @ avg254000
BIRD,162500.0,,,,1625.0,,,,,,,,,,,,,,,,2026-06-18,,,,,164000.0,243750000.0,Import IPOT | Buy 1625lot @ avg162500 | Sell 1640lot @ avg164000
MBMA,55278.0,,,,530.0,,,,,,,,,,,,,,,,2026-06-19,,,,,,,Import IPOT | Buy 1105lot @ avg55278 | Sell 530lot @ avg53000
SMRA,29600.0,,,,288.0,,,,,,,,,,,,,,,,2026-06-23,,,,,,,Import IPOT | Buy 296lot @ avg29600 | Sell 288lot @ avg28800
KLBF,25483.0,,,,1570.0,,,,,,,,,,,,,,,,2026-06-24,,,,,,,Import IPOT | Buy 2330lot @ avg25483 | Sell 1570lot @ avg78513
JSMR,297501.0,,,,3050.0,,,,,,,,,,,,,,,,2026-06-25,,,,,,,Import IPOT | Buy 5950lot @ avg297501 | Sell 3050lot @ avg305000
TPIA,182250.0,,,,1855.0,,,,,,,,,,,,,,,,2026-06-25,,,,,,,Import IPOT | Buy 3645lot @ avg182250 | Sell 1855lot @ avg185500
UNVR,177500.0,,,,1775.0,,,,,,,,,,,,,,,,2026-06-30,,,,,182000.0,798750000.0,Import IPOT | Buy 1775lot @ avg177500 | Sell 1820lot @ avg182000
